Step,external_noise_direct,external_noise_prefix,external_noise_direct_ma25,external_noise_prefix_ma25,self_noise_direct,self_noise_prefix,self_noise_direct_ma25,self_noise_prefix_ma25,random_noise_direct,random_noise_prefix,random_noise_direct_ma25,random_noise_prefix_ma25
66,0.7311320900917053,0.5227272510528564,0.7839651417732239,0.5951274967193604,0.7239583134651184,0.21875,0.7739668369293213,0.34108333349227904,0.703125,0.65625,0.7745833396911621,0.725625
67,0.795918345451355,0.5333333611488342,0.780495753288269,0.5882227337360382,0.7604166865348816,0.328125,0.766050169467926,0.34670833349227903,0.765625,0.671875,0.7700000047683716,0.71625
68,0.8578431606292725,0.5961538553237915,0.7854683017730713,0.5987172389030456,0.8645833134651184,0.40625,0.7683418369293213,0.3498333334922791,0.8385416865348816,0.765625,0.7737500047683716,0.72
69,0.9100000262260436,0.8035714030265808,0.7907192826271057,0.6010798764228821,0.9010416865348816,0.4375,0.7756335020065308,0.35108333349227905,0.8802083134651184,0.875,0.7793750047683716,0.725625
70,0.8673469424247742,0.6499999761581421,0.7862335681915283,0.6007227325439453,0.8177083134651184,0.359375,0.7700085020065308,0.3523333334922791,0.8385416865348816,0.859375,0.7727083373069763,0.72375
71,0.7980769276618958,0.5625,0.7846767044067383,0.6096238315105438,0.7708333134651184,0.46875,0.7658418345451355,0.35108333349227905,0.734375,0.6875,0.7718750023841858,0.723125
72,0.7099999785423279,0.5357142686843872,0.7807543540000915,0.61022989153862,0.6822916865348816,0.390625,0.7612584996223449,0.35420833349227904,0.6979166865348816,0.59375,0.7670833349227906,0.73
73,0.7745097875595093,0.6538461446762085,0.7834043550491333,0.6156763207912445,0.734375,0.390625,0.7641751670837402,0.35670833349227904,0.7395833134651184,0.75,0.766875,0.73375
74,0.817307710647583,0.6041666865348816,0.7760043573379517,0.6063906061649322,0.8020833134651184,0.34375,0.757508499622345,0.3523333334922791,0.8177083134651184,0.84375,0.76,0.7275
75,0.800000011920929,0.6785714030265808,0.7734288454055787,0.6058667957782745,0.765625,0.515625,0.7558418321609497,0.35045833349227906,0.8020833134651184,0.734375,0.7585416674613953,0.72375
76,0.745192289352417,0.3958333432674408,0.777082691192627,0.6108667957782745,0.7244898080825806,0.25,0.7585501670837402,0.34670833349227903,0.7135416865348816,0.765625,0.7614583325386047,0.73
77,0.6538461446762085,0.4791666567325592,0.7734252262115479,0.6019437181949615,0.6302083134651184,0.328125,0.7570918321609497,0.35045833349227906,0.6614583134651184,0.59375,0.7591666650772094,0.731875
78,0.7244898080825806,0.6333333253860474,0.7753059792518616,0.5977898728847504,0.7708333134651184,0.21875,0.7600212550163269,0.36,0.7916666865348816,0.75,0.7622916650772095,0.736875
79,0.6632652878761292,0.4166666567325592,0.7822145414352417,0.6077141153812409,0.59375,0.390625,0.7656462550163269,0.3625,0.6145833134651184,0.53125,0.7710416650772095,0.745
80,0.7843137383460999,0.6730769276618958,0.7846635222434998,0.6103807818889618,0.7604166865348816,0.390625,0.7679379200935363,0.3575,0.7760416865348816,0.71875,0.7712499976158143,0.74875
81,0.6949999928474426,0.4821428656578064,0.7811497950553894,0.6086774837970733,0.7552083134651184,0.3125,0.7637712550163269,0.355625,0.7135416865348816,0.671875,0.767708330154419,0.746875
82,0.7450000047683716,0.5535714030265808,0.7814164614677429,0.6088423192501068,0.71875,0.328125,0.7639795875549317,0.35625,0.6875,0.734375,0.7691666650772094,0.74625
83,0.7649999856948853,0.6071428656578064,0.775350034236908,0.6028423202037811,0.6875,0.28125,0.7612712550163269,0.353125,0.7552083134651184,0.78125,0.7658333301544189,0.74125
84,0.849056601524353,0.6818181872367859,0.7736269569396973,0.6074851763248443,0.8333333134651184,0.46875,0.7623129224777222,0.353125,0.8177083134651184,0.875,0.7674999976158142,0.741875
85,0.7850000262260437,0.7142857313156128,0.7758269572257995,0.6053423202037811,0.78125,0.3125,0.7637712550163269,0.3475,0.7395833134651184,0.734375,0.7691666626930237,0.746875
86,0.7200000286102295,0.6071428656578064,0.7773955845832825,0.6099577057361603,0.7395833134651184,0.3125,0.7666879224777222,0.346875,0.7291666865348816,0.703125,0.7731249976158142,0.748125
87,0.6549999713897705,0.5535714030265808,0.7758797478675842,0.6050218069553375,0.671875,0.28125,0.7662372422218323,0.353125,0.65625,0.609375,0.7718749976158142,0.74375
88,0.9471153616905212,0.8333333134651184,0.778679747581482,0.6128789508342742,0.9479166865348816,0.359375,0.7697789096832275,0.34375,0.9739583134651184,0.953125,0.7747916650772094,0.748125
89,0.7401960492134094,0.5769230723381042,0.7814646482467651,0.6160456168651581,0.7239583134651184,0.484375,0.7720493173599243,0.35625,0.7395833134651184,0.765625,0.7781249976158142,0.74875
90,0.8480392098426819,0.5961538553237915,0.7904128432273865,0.6288789510726929,0.8385416865348816,0.421875,0.7810076522827148,0.364375,0.8697916865348816,0.796875,0.7879166650772095,0.758125
91,0.9038461446762084,0.7708333134651184,0.796033251285553,0.6292599034309387,0.8645833134651184,0.28125,0.7818409872055053,0.36875,0.921875,0.859375,0.788333330154419,0.760625
92,0.8571428656578064,0.6000000238418579,0.8012673449516297,0.6379778516292572,0.8177083134651184,0.203125,0.7901318025588989,0.36512500047683716,0.7708333134651184,0.765625,0.7958333301544189,0.77
93,0.7699999809265137,0.5535714030265808,0.8033563327789307,0.6393881070613862,0.7604166865348816,0.359375,0.7930484676361084,0.3613750004768372,0.75,0.71875,0.7981249952316284,0.771875
94,0.9166666865348816,0.807692289352417,0.8073210382461548,0.6470254695415497,0.90625,0.453125,0.7955484676361084,0.3670000004768372,0.9166666865348816,0.859375,0.8022916603088379,0.7775
95,0.7156862616539001,0.5,0.8026230788230896,0.6435492801666259,0.75,0.28125,0.7915901350975036,0.36075000047683714,0.7552083134651184,0.734375,0.7987499928474426,0.77125
96,0.7549999952316284,0.6785714030265808,0.8020230793952942,0.6472635650634766,0.796875,0.46875,0.7940901350975037,0.35950000047683717,0.7760416865348816,0.703125,0.7983333277702331,0.766875
97,0.7649999856948853,0.4821428656578064,0.7964608144760131,0.6435622668266296,0.71875,0.25,0.7909608840942383,0.34875000059604644,0.7395833134651184,0.71875,0.7927083277702331,0.759375
98,0.813725471496582,0.7692307829856873,0.7950608134269714,0.6369908380508423,0.8072916865348816,0.375,0.7903358840942383,0.34812500059604645,0.8385416865348816,0.78125,0.7937499952316284,0.76125
99,0.779411792755127,0.4807692170143127,0.796668975353241,0.640038456916809,0.7908163070678711,0.5,0.7897108840942383,0.35250000059604647,0.7864583134651184,0.734375,0.7947916603088379,0.765
100,0.8700000047683716,0.875,0.8029218077659607,0.6360774195194244,0.8541666865348816,0.28125,0.7938775515556336,0.35687500059604643,0.875,0.84375,0.7997916603088379,0.771875
101,0.8148148059844971,0.4749999940395355,0.7975862121582031,0.6281287014484406,0.78125,0.5625,0.7876275515556336,0.35187500059604643,0.796875,0.78125,0.7943749952316285,0.76625
102,0.8775510191917419,0.800000011920929,0.8012436771392822,0.6317184460163117,0.8541666865348816,0.53125,0.7905442190170288,0.3468750005960464,0.90625,0.828125,0.797708330154419,0.770625
103,0.8650000095367432,0.6428571343421936,0.795722107887268,0.6271580064296722,0.7916666865348816,0.328125,0.7874107146263123,0.34133333384990694,0.8020833134651184,0.8125,0.7931249952316284,0.769375
104,0.7941176295280457,0.6346153616905212,0.7909144163131714,0.6238246738910675,0.8010203838348389,0.3000000119209289,0.7838690495491027,0.34883333384990695,0.8020833134651184,0.765625,0.7874999952316284,0.764375
105,0.8365384340286255,0.7083333134651184,0.7879748558998108,0.6239913403987885,0.8333333134651184,0.296875,0.7815773844718933,0.35195833384990693,0.8333333134651184,0.765625,0.787708330154419,0.765625
106,0.7941176295280457,0.6730769276618958,0.7889748573303222,0.6289913403987885,0.8177083134651184,0.453125,0.7821811246871948,0.35425000011920926,0.8177083134651184,0.8125,0.7887499976158142,0.769375
107,0.6275510191917419,0.4666666686534881,0.7813647937774658,0.6148654675483703,0.6197916865348816,0.171875,0.7734311246871948,0.3473750001192093,0.5989583134651184,0.578125,0.7806249976158142,0.760625
108,0.75,0.699999988079071,0.7807373428344726,0.6155797529220581,0.75,0.25,0.7698894572257996,0.34862500011920927,0.7447916865348816,0.671875,0.7779166650772095,0.755
109,0.7099999785423279,0.5892857313156128,0.7860275387763977,0.6199753594398498,0.7551020383834839,0.2000000029802322,0.7723894572257995,0.3442500001192093,0.6770833134651184,0.6875,0.7822916650772095,0.76125
110,0.75,0.550000011920929,0.7905255794525147,0.6322281074523926,0.765625,0.296875,0.7765561246871948,0.3505000001192093,0.765625,0.78125,0.7870833325386047,0.76375
111,0.7602040767669678,0.6833333373069763,0.7930709004402161,0.6314588761329651,0.7239583134651184,0.421875,0.7780144572257995,0.34612500011920927,0.7552083134651184,0.796875,0.7881249976158142,0.765625
112,0.8113207817077637,0.4545454680919647,0.7980762457847596,0.6377836632728576,0.7760416865348816,0.390625,0.78117347240448,0.3511250001192093,0.78125,0.78125,0.7910416650772095,0.77
